itemid,cycle_time_days,process,sequence
7700079,0.5,assy,1
7700079,1,test,2
7700079,1,burnin,3
7700079,1,fqc,4
7700065,0.25,assy,1
7700065,0.5,test,2
7700065,1,burnin,3
7700065,1,fqc,4
7700055,0.25,assy,1
7700055,0.5,test,2
7700055,1,burnin,3
7700055,1,fqc,4
7700008,0.25,assy,1
7700008,0.5,test,2
7700008,1,burnin,3
7700008,1,fqc,4
7700067,0.25,assy,1
7700067,0.5,test,2
7700067,1,burnin,3
7700067,1,fqc,4
7700048,0.25,assy,1
7700048,0.5,test,2
7700048,1,burnin,3
7700048,1,fqc,4
7700077,0.25,assy,1
7700077,0.5,test,2
7700077,1,burnin,3
7700077,1,fqc,4
7700054,0.25,assy,1
7700054,0.5,test,2
7700054,1,burnin,3
7700054,1,fqc,4
7700031,0.25,assy,1
7700031,0.5,test,2
7700031,1,burnin,3
7700031,1,fqc,4
7700051,0.25,assy,1
7700051,0.5,test,2
7700051,1,burnin,3
7700051,1,fqc,4
7700065,0.25,assy,1
7700065,0.5,test,2
7700065,1,burnin,3
7700065,1,fqc,4
7700080,0.25,assy,1
7700080,0.5,test,2
7700080,1,burnin,3
7700080,1,fqc,4
